ID,year,place,sowing,varietyID,variety,block,plot,ind,PlantHeight_20190725_cm,PlantHeight_20190727_cm,PlantHeight_20190729_cm,PlantHeight_20190801_cm,PlantHeight_20190805_cm,PlantHeight_20190807_cm,PlantHeight_20190809_cm,PlantHeight_20190811_cm,PlantHeight_20190813_cm,PlantHeight_20190816_cm,PlantHeight_20190818_cm,PlantHeight_20190820_cm,PlantHeight_20190822_cm,PlantHeight_20190824_cm,PlantHeight_20190826_cm,PlantHeight_20190829_cm,PlantHeight_20190831_cm,PlantHeight_20190903_cm,PlantHeight_20190905_cm
,2019,Tottori,Jul,154,GmWMC154,W1,99,3,8,8,8,11,13,13,16,20,18,22,24,31,31,32,34,37,44,53,53
,2019,Tottori,Jul,154,GmWMC154,W1,99,4,10,7,9,11,15,12,15,17,18,22,25,28,27,31,33,36,43,50,46
,2019,Tottori,Jul,191,GmWMC191,W1,101,1,10,10,11,13,15,17,18,22,23,25,31,31,39,44,47,46,54,59,63
,2019,Tottori,Jul,191,GmWMC191,W1,101,2,9,10,10,12,14,14,18,18,22,27,30,35,39,45,55,55,60,65,75
,2019,Tottori,Jul,191,GmWMC191,W1,101,3,7,8,9,12,15,15,17,23,21,28,33,38,41,46,50,56,62,68,75
,2019,Tottori,Jul,191,GmWMC191,W1,101,4,9,8,10,12,16,15,17,19,18,22,26,30,35,41,43,47,55,61,69
,2019,Tottori,Jul,12,GmWMC012,W1,125,1,7,7,8,12,13,12,16,17,18,19,23,24,24,24,29,33,41,37,35
,2019,Tottori,Jul,12,GmWMC012,W1,125,2,10,12,16,15,20,24,23,25,28,31,33,37,41,47,44,40,48,46,44
,2019,Tottori,Jul,12,GmWMC012,W1,125,3,9,10,10,13,15,16,18,18,19,24,26,22,25,31,32,30,52,32,34
,2019,Tottori,Jul,12,GmWMC012,W1,125,4,9,11,11,12,16,13,16,17,18,19,24,25,26,27,27,28,35,36,30
,2019,Tottori,Jul,40,GmJMC040,W1,127,1,5,7,6,7,10,11,15,13,13,17,21,20,23,30,30,26,36,35,35
,2019,Tottori,Jul,40,GmJMC040,W1,127,2,9,11,11,12,17,14,21,22,22,22,24,30,31,33,34,36,40,44,42
,2019,Tottori,Jul,40,GmJMC040,W1,127,3,13,11,13,16,18,15,19,23,25,23,27,32,31,33,35,34,39,42,42
,2019,Tottori,Jul,40,GmJMC040,W1,127,4,11,12,13,16,18,17,20,21,24,26,28,32,32,37,36,30,40,51,41
,2019,Tottori,Jul,71,GmWMC071,W1,150,1,12,15,14,15,19,19,20,20,22,25,29,31,31,39,39,39,44,40,43
,2019,Tottori,Jul,71,GmWMC071,W1,150,2,11,11,13,13,19,18,21,24,21,27,27,30,30,34,38,40,46,51,47
,2019,Tottori,Jul,71,GmWMC071,W1,150,3,11,12,13,16,18,16,22,24,24,28,30,34,41,44,46,43,47,47,51
,2019,Tottori,Jul,71,GmWMC071,W1,150,4,9,11,12,14,17,18,22,23,22,26,27,31,32,41,40,39,48,47,49
,2019,Tottori,Jul,178,GmWMC178,W2,52,1,15,17,16,22,23,24,26,29,25,30,33,35,37,39,40,49,53,56,61
,2019,Tottori,Jul,178,GmWMC178,W2,52,2,10,11,12,17,17,18,24,22,26,26,28,29,32,40,38,44,51,55,62
,2019,Tottori,Jul,178,GmWMC178,W2,52,3,11,13,13,19,20,19,25,22,28,28,30,33,36,38,46,49,60,60,68
,2019,Tottori,Jul,178,GmWMC178,W2,52,4,14,14,15,18,21,20,23,24,26,28,32,33,39,44,45,48,52,55,57
,2019,Tottori,Jul,221,C0394,W2,75,1,8,10,11,13,14,19,21,19,20,22,25,26,25,30,39,32,38,36,36
,2019,Tottori,Jul,221,C0394,W2,75,2,8,8,8,12,14,17,19,18,17,22,22,21,25,25,26,31,39,42,40
,2019,Tottori,Jul,221,C0394,W2,75,3,8,9,10,13,16,17,20,18,22,24,25,27,28,30,30,34,40,42,43
