"","variety","treatment","plot","flower","dryWeight","plantArea","spectral475","spectral550","spectral660","spectral725","spectral850","GRVI","NDVI","NDRE","NDI","RTVI"
"W3-145","GmJMC034","W3",145,0,38.995,970,1842,3167.25,1520,23335,8641.5,0.234455317462496,0.66832141295821,0.110577536209848,0.614860291966337,47.1475588034908
"W3-146","GmJMC016","W3",146,0,32.125,851.25,2680,4269,2013,26768,8721.5,0.230368749909478,0.586002989684762,0.0473802592002499,0.567232858699222,12.2148496445336
"W3-147","GmJMC098","W3",147,0,43.055,1248,2184,4098,1742,27678,8698.5,0.278072736112501,0.622521338578086,0.0318125281626421,0.629130092128277,1.50896734916762
"W3-148","GmWMC169","W3",148,0,41.265,1008,2906.5,4305.75,2080,28206.5,9395.5,0.228587781119382,0.576379579154502,0.0511704854182436,0.572268803860932,14.5023224020789
"W3-149","GmJMC037","W3",149,0,34.995,686.5,3106.5,4691.5,2292,28364,9279.75,0.220360511442902,0.554791636332062,0.0439652427261008,0.55389486029999,11.9174061704624
"W3-150","GmWMC152","W3",150,1,54.625,1077.5,1702,3563.5,1464,26235,8880,0.301264340455034,0.682530180983938,0.0794566525069624,0.652283200045541,30.5154458574666
"W3-151","GmJMC030","W3",151,0,28.025,643.5,3506,5396,2670,30660,10493,0.216139334553036,0.54843208192628,0.0897085471449994,0.517133758628322,46.8192426180906
"W3-152","GmWMC006","W3",152,0,21.76,876.5,5744,7294.25,3818.5,34422.5,10264.75,0.182878699047132,0.379999346937817,0.0167399279103541,0.432085473616571,-3.91975360188084
"W3-153","GmWMC001","W3",153,0,20.22,418.75,5475,6867,3561,32630,10011,0.198829690539355,0.393147432347355,0.0272391809183075,0.430329651686369,4.35065247967024
"W3-154","GmJMC021","W3",154,0,18.525,760.5,4593,6030,3125,30173,9827.25,0.193949246533971,0.446190686207156,0.0533716182856288,0.469031976671963,21.4661357310017
"W3-155","GmWMC087","W3",155,0,25.115,1183.5,5392,7198.5,3893,32811,9767,0.168679090014063,0.359526330875098,0.0169184808629681,0.399995678624589,-1.08115504622802
"W3-156","GmWMC018","W3",156,0,27.73,1024.33333333333,3177,4838.5,2312,29165,10203,0.228394295438821,0.585989730196293,0.0995914764035754,0.553289111356645,49.6481955127666
"W3-157","GmJMC088","W3",157,0,17.865,1452,5143.5,6598.5,3383,32381.5,9866.75,0.196374731929091,0.397237284236854,0.0281832505642116,0.438958252724044,5.83243034794909
"W3-158","GmWMC094","W3",158,0,21.085,1070.25,3204,5079,2440,29540,9810.5,0.234852790962538,0.556103412554651,0.0656032840495071,0.539970895004935,26.615095595009
"W3-159","GmWMC010","W3",159,0,21.575,1210.33333333333,4084,5839.5,3016,32249,10701,0.202240921074012,0.50154666086787,0.0648444513710275,0.483233460452368,30.7153228085202
"W3-160","GmJMC085","W3",160,0,45.47,1539.5,2854,4881.5,2188,31208,10650.5,0.255307005904124,0.60364973263779,0.0840219011818111,0.583317240802817,43.0695575419118
"W3-161","GmJMC133","W3",161,1,32.93,1145,4336,6419,3290,34036,10307,0.215240348578101,0.466974340392665,0.0234326712661754,0.498363580980574,-0.444318015154884
"W3-162","GmWMC164","W3",162,0,36.015,1207.5,1966,4043.25,1604.5,27740.5,9453.75,0.307977382879845,0.681440628757057,0.0690863585472014,0.641272038865816,25.3087733346582
"W3-163","GmJMC068","W3",163,0,29.48,943.25,4100,5613.5,2937,30058.5,10051.5,0.190968905345623,0.488442095954554,0.0662995860390089,0.486099430687442,28.6601220488545
"W3-164","GmWMC144","W3",164,1,25.655,970.75,3904,5731.5,2954,31321,10118.5,0.201958461770981,0.489990789797616,0.0493409297705311,0.498297568793895,18.0121303297059
"W3-165","GmJMC005","W3",165,0,26.24,720.25,3983,5466.5,2789,30044,10116.5,0.204030099634799,0.511707813975651,0.0610317685297499,0.511558640844837,26.7674558080178
"W3-166","GmJMC104","W3",166,0,16.235,1181.25,3390,5058,2487,29112,9193.5,0.224008890179667,0.522197579587689,0.0323591409661864,0.528653249754175,3.81513661942719
